code,quantity,sale_date,labels
e6762ba2ffbca07ab6cee7551caeaad5,1,2016-06-11,13
e6762ba2ffbca07ab6cee7551caeaad5,1,2016-06-11,3
e6762ba2ffbca07ab6cee7551caeaad5,1,2016-06-12,13
e6762ba2ffbca07ab6cee7551caeaad5,1,2016-06-13,3
e6762ba2ffbca07ab6cee7551caeaad5,1,2016-06-13,13
e6762ba2ffbca07ab6cee7551caeaad5,1,2016-06-13,3
e6762ba2ffbca07ab6cee7551caeaad5,1,2016-06-14,3
e6762ba2ffbca07ab6cee7551caeaad5,1,2016-09-18,3
e6762ba2ffbca07ab6cee7551caeaad5,1,2016-09-18,3
e6762ba2ffbca07ab6cee7551caeaad5,1,2016-09-27,3
e6762ba2ffbca07ab6cee7551caeaad5,1,2016-10-02,3
e6762ba2ffbca07ab6cee7551caeaad5,1,2016-10-04,3
e6762ba2ffbca07ab6cee7551caeaad5,1,2016-10-05,13
e6762ba2ffbca07ab6cee7551caeaad5,1,2016-10-08,13
e6762ba2ffbca07ab6cee7551caeaad5,1,2016-10-16,3
e6762ba2ffbca07ab6cee7551caeaad5,1,2016-10-17,3
e6762ba2ffbca07ab6cee7551caeaad5,1,2016-10-17,3
e6762ba2ffbca07ab6cee7551caeaad5,1,2016-10-18,13
e6762ba2ffbca07ab6cee7551caeaad5,1,2016-10-21,13
e6762ba2ffbca07ab6cee7551caeaad5,1,2016-10-23,13
e6762ba2ffbca07ab6cee7551caeaad5,1,2016-10-23,13
e6762ba2ffbca07ab6cee7551caeaad5,1,2016-10-27,3
e6762ba2ffbca07ab6cee7551caeaad5,1,2016-10-31,13
e6762ba2ffbca07ab6cee7551caeaad5,1,2016-11-10,3
e6762ba2ffbca07ab6cee7551caeaad5,1,2016-11-11,3
e6762ba2ffbca07ab6cee7551caeaad5,1,2016-11-11,13
e6762ba2ffbca07ab6cee7551caeaad5,1,2016-12-15,13
e6762ba2ffbca07ab6cee7551caeaad5,1,2016-12-16,13
